epoch,train_total,train_s,train_a,train_t,train_b,val_total,val_s,val_a,val_t,val_b,val_acc_s,val_acc_a,val_acc_t,val_acc_b
0,8.396065458655357,2.2132303185760973,2.0833045832812784,1.964400413632393,2.135130187124014,7.999354203542073,2.0478678941726685,2.0064090887705484,1.8505001465479534,2.0945770343144736,0.3513783593463806,0.317161749396392,0.34964281474028397,0.30631201880316133
1,7.22960347533226,1.8771376848220824,1.7668816216289998,1.7077122934162616,1.8778718926012516,7.6770369211832685,1.9090078671773274,1.9379103183746338,1.7695081233978271,2.0606106917063394,0.38993618689155,0.3385302155953045,0.3709521786802126,0.30546168752817643
2,6.9365293174982074,1.7860343344509602,1.6896290525794029,1.6392808929085732,1.8215850435197354,7.619582335154216,1.8896647691726685,1.916762391726176,1.749819238980611,2.0633360544840493,0.3767368383091234,0.3386871086038797,0.3867604674593395,0.30837984875009633
3,6.767056998610497,1.7372795209288596,1.6442891575396061,1.5995551191270352,1.7859331853687763,7.610297520955403,1.8860352039337158,1.9050996700922649,1.7385592857996623,2.0806033611297607,0.3813601378757941,0.342365739637436,0.3919302496124713,0.3092883768126405
4,6.646613186597824,1.70081757158041,1.6145943611860276,1.5700512953102588,1.7611499793827534,7.604638735453288,1.8809769948323567,1.9030199845631917,1.741557280222575,2.0790843963623047,0.3773722171923371,0.34556735722334747,0.39685016455734595,0.3076348480639423
5,6.558081936836243,1.6750754155218601,1.5903291888535023,1.5491384327411652,1.7435389287769794,7.606194178263347,1.8751790523529053,1.8847092390060425,1.7379248142242432,2.1083811124165854,0.38062087762953856,0.3559752130969011,0.39664970550882533,0.3064400657480965
6,6.479037374258041,1.6521620392799377,1.572146474570036,1.5289397314190865,1.725789138674736,7.700189113616943,1.9143364826838176,1.887273867925008,1.7564768393834431,2.1421019236246743,0.372405234117426,0.35746173882532634,0.39219415885555975,0.3073607231971147
7,6.4122720718383786,1.6322991147637367,1.556755753606558,1.5120015040040016,1.711215714365244,7.695916811625163,1.9046348333358765,1.8756770690282185,1.749493678410848,2.166111469268799,0.365257767376355,0.35771056753702135,0.3923434094834683,0.3063182554602218
8,6.348826912045479,1.613794131577015,1.5410046227276326,1.495739331841469,1.6982888035476207,7.768437544504802,1.949528415997823,1.8809627294540405,1.7552489439646404,2.182697614034017,0.3719343989097486,0.36138347094208023,0.3886234944305779,0.31210255172905743
9,6.30240843296051,1.600312139093876,1.5289214581251145,1.485561166703701,1.6876136541366578,7.757744153340657,1.9285149971644084,1.8821925322214763,1.7497111161549885,2.1973253885904946,0.3752053047256245,0.3569621454198635,0.3930134215749204,0.31478199361002995
10,6.275503340363502,1.5929647289216518,1.5228173069655895,1.4789583042263985,1.6807629890739917,7.750158627827962,1.9108980894088745,1.8787909348805745,1.7567568222681682,2.2037128607432046,0.376970452746602,0.3514091213813939,0.39258324023734276,0.3112055449473194
